antecedent;consequent;lift;confidence;support;netconf;amplitude;coverage
SAP [-28.70, 22.44]%, VXX [-20.14, 72.40]%, MSFT [-15.75, 14.66]%, EFX [-13.02, -6.67]%;UUP [-4.71, 1.57]%;1.154;0.935;0.025;0.128;0.327;0.026
VXX [-14.89, 88.26]%, month([1, 12]), XLE [-30.26, 27.88]%, MSFT [-11.36, 16.89]%;UUP [-4.71, 4.74]%;1.165;0.999;0.749;0.565;0.101;0.75
JPM [-37.13, 16.15]%, month([4, 12]), IYR [-7.82, 33.08]%, VXX [-5.81, 88.87]%, BA [-40.53, 84.51]%, CPB [-12.34, 20.14]%;VIXY [14.90, 90.39]%;1.486;0.053;0.021;0.029;0.222;0.401
CLX [-14.49, 11.25]%, month([7, 12]), VXX [-16.03, 90.42]%, BA [-26.65, 11.20]%, MSFT [-11.07, 16.89]%, EWP [-26.58, 16.31]%, XLE [-9.50, 27.88]%;VIXY [15.45, 79.96]%;1.244;0.04;0.015;0.012;0.341;0.36
month([2, 11]), SHY [0.03, 0.91]%, IWM [-8.19, 5.84]%, JPM [-8.82, 12.46]%;VXX [11.94, 90.42]%;1.4;0.075;0.027;0.034;0.509;0.363
XLE [-14.33, -4.73]%, IWM [-5.50, 6.42]%, JPM [-9.71, 10.99]%, HYG [-3.83, 0.56]%;VXX [4.44, 85.83]%;4.158;0.625;0.017;0.488;0.688;0.027
IWM [-7.38, 6.49]%, week_number([428, 1171]);VXX [4.68, 84.30]%;1.291;0.19;0.118;0.113;0.464;0.622
MSFT [-13.28, 5.14]%, SPY [-10.10, 17.92]%, VXX [-10.98, 78.54]%, month([6, 7]);XLE [-9.60, 0.58]%;1.143;0.568;0.064;0.08;0.538;0.113
CLX [-0.45, 20.84]%, VXX [-26.76, 85.20]%, MSFT [-16.96, 7.35]%, IYR [-7.92, 15.14]%, SPY [-3.78, 17.92]%, EEM [-14.58, 24.22]%, GLD [-6.47, 8.17]%, month([1, 2]);XLF [0.58, 31.52]%;1.203;0.543;0.044;0.1;0.433;0.08
MU [-38.25, 7.10]%, VXX [2.06, 86.57]%, IWM [-7.38, 6.49]%, JPM [-9.72, 10.75]%;XLF [-10.93, -3.97]%;2.156;0.129;0.025;0.086;0.617;0.192
SPY [-18.91, 17.92]%, VXX [-18.96, 90.42]%, IWM [-4.41, 12.04]%, BA [-8.49, 42.47]%, XOM [-5.39, -0.81]%;XLF [-21.52, -1.80]%;1.454;0.277;0.057;0.109;0.482;0.207
MU [-18.46, -1.20]%, IWM [-7.38, 6.50]%, JPM [-9.75, 10.75]%;XLF [-6.32, 1.63]%;1.203;0.851;0.321;0.231;0.775;0.377
VXX [-13.28, 83.31]%, month([1, 12]), WMT [-3.88, 12.41]%, CLX [-6.18, 3.06]%, MSFT [-10.57, 15.18]%, IWM [-0.22, 15.50]%;XLK [-1.66, 9.30]%;1.2;0.973;0.365;0.26;0.431;0.375
IWM [-7.38, 6.51]%, XOM [-0.85, 17.06]%, JPM [-9.72, 10.76]%;XLK [1.93, 11.23]%;1.113;0.257;0.167;0.075;0.684;0.652
IWM [-7.47, 6.37]%, DIA [-13.04, -0.19]%, MU [-45.48, 17.32]%, JPM [-9.74, 11.11]%;XLV [-14.28, -1.86]%;2.214;0.263;0.092;0.222;0.564;0.351
VXX [-20.47, 82.74]%, month([7, 12]), GLD [-3.33, 13.30]%, IYR [-13.94, 10.76]%, CPB [-3.28, 20.14]%, MSFT [-14.11, 14.10]%, XLF [4.29, 31.52]%, IWM [-4.65, 19.14]%;XOM [1.93, 18.07]%;2.762;0.75;0.013;0.487;0.419;0.017
VXX [-14.60, 78.28]%, XLE [-16.17, 13.31]%, EWP [-26.58, 19.94]%, MSFT [-14.59, 9.60]%;XOM [5.50, 16.94]%;1.101;0.04;0.03;0.014;0.354;0.74
WMT [-3.77, 4.29]%, GOOGL [-16.20, 9.69]%, NVDA [-29.99, 25.39]%, GLD [3.07, 10.60]%, SPY [-1.44, 17.92]%, HYG [-11.32, 3.95]%, UUP [-2.65, 1.37]%;EWP [2.42, 12.71]%;1.67;0.345;0.017;0.146;0.544;0.049
DIA [-15.09, 6.95]%, MU [-16.63, 41.42]%, EEM [-18.95, 28.15]%, month(12), WMT [-17.28, 12.01]%, MSFT [-0.12, 5.84]%, SAP [-19.11, 22.44]%, UUP [-4.19, 1.06]%, XLK [-2.11, 14.56]%;GOOGL [-0.17, 6.25]%;1.281;0.667;0.024;0.152;0.484;0.036
SHY [-0.54, 0.70]%, WMT [-11.51, 0.07]%, MSFT [-9.09, 5.16]%, SPY [-6.38, 8.04]%, UUP [-3.53, 5.28]%, DIA [-18.87, 15.11]%, EWP [-14.85, 16.77]%, XLK [-12.30, 13.61]%;HYG [-11.65, 1.36]%;1.208;0.94;0.335;0.252;0.385;0.357
SAP [-10.13, 22.44]%, IYR [5.70, 14.77]%, EWP [-16.24, 14.62]%;JPM [4.19, 34.97]%;5.386;0.625;0.013;0.52;0.54;0.02
WMT [-17.64, 10.46]%, DIA [-18.87, 10.35]%, GOOGL [-11.09, 8.27]%, month([11, 12]), XLK [-5.68, 7.68]%, HYG [-11.62, 11.47]%, AAPL [-0.60, 16.80]%;MSFT [0.24, 8.99]%;1.313;0.681;0.053;0.176;0.468;0.078
HYG [-11.65, 8.64]%, XOM [-6.66, 18.07]%, EEM [4.61, 28.15]%, GOOGL [-16.83, 29.40]%, NVDA [-15.57, 5.56]%, DIA [-18.87, 15.11]%;MSFT [0.82, 15.21]%;1.477;0.643;0.015;0.213;0.343;0.024
GOOGL [-4.30, 13.59]%, WMT [-12.99, 15.32]%, IWM [-24.00, -0.60]%, DIA [-12.58, 7.61]%, XLK [-17.04, 4.54]%;MSFT [-2.90, 1.02]%;1.212;0.56;0.156;0.136;0.485;0.279
GOOGL [-4.30, 13.59]%, WMT [-12.99, 15.32]%, IWM [-24.00, -0.60]%, DIA [-12.58, 7.61]%, XLK [-17.04, 4.54]%;MSFT [-2.90, 1.02]%;1.212;0.56;0.156;0.136;0.485;0.279
EEM [-18.95, 27.63]%, GOOGL [-16.80, 1.34]%, SPY [-9.22, 8.86]%, month([11, 12]), SHY [-0.56, 0.09]%, WMT [-1.38, 2.10]%, DIA [-10.69, 15.11]%, XLE [-11.28, 27.88]%, UUP [-2.45, 6.24]%;MSFT [-3.24, 0.21]%;1.274;0.444;0.02;0.1;0.549;0.046
EEM [-18.95, 27.63]%, GOOGL [-16.80, 1.34]%, SPY [-9.22, 8.86]%, month([11, 12]), SHY [-0.56, 0.09]%, WMT [-1.38, 2.10]%, DIA [-10.69, 15.11]%, XLE [-11.28, 27.88]%, UUP [-2.45, 6.24]%;MSFT [-3.24, 0.21]%;1.274;0.444;0.02;0.1;0.549;0.046
GOOGL [-13.25, 10.77]%, DIA [-12.85, 6.56]%, month([11, 12]), WMT [-18.72, 15.32]%, week_number([121, 457]), XLE [-15.90, 6.31]%;MSFT [-6.85, -1.57]%;1.419;0.298;0.012;0.092;0.576;0.04
SHY [-0.74, 1.11]%, SPY [-6.56, 3.03]%, month([10, 12]), GOOGL [-16.83, 0.49]%, DIA [-9.31, 15.11]%, UUP [-2.09, 4.98]%, XLE [-14.00, -3.22]%, XLK [-13.59, 1.19]%, NVDA [-20.29, 36.33]%;MSFT [-7.49, 1.28]%;1.281;0.783;0.015;0.175;0.532;0.02
GOOGL [-12.57, 5.68]%, XOM [4.24, 17.33]%, XLE [-19.79, 14.17]%, XLK [-17.04, 3.15]%;MSFT [-8.44, 1.33]%;1.221;0.767;0.039;0.146;0.571;0.051
DIA [-12.47, 15.11]%, GOOGL [-16.83, 12.86]%, WMT [-6.75, 7.25]%, month([11, 12]), SPY [2.28, 3.38]%;NVDA [-0.49, 21.64]%;1.57;0.923;0.01;0.339;0.618;0.011
HYG [-11.65, 6.49]%, XLK [-17.04, 13.80]%, MSFT [1.26, 16.89]%, DIA [-18.87, 15.11]%, XLE [-22.48, 27.88]%;NVDA [1.56, 36.33]%;1.451;0.654;0.214;0.302;0.251;0.328
HYG [-11.65, 8.78]%, SHY [-0.54, 0.22]%, UUP [-2.03, 4.34]%, MSFT [-0.80, 14.41]%, XLK [-17.04, 13.44]%, XLE [1.26, 26.35]%, DIA [-18.87, 15.11]%;NVDA [10.09, 27.05]%;1.837;0.116;0.025;0.067;0.397;0.213
HYG [-11.65, 11.47]%, XOM [-24.74, 18.07]%, XLE [-25.77, 27.88]%, GOOGL [-16.83, -3.74]%, DIA [-18.87, 3.78]%, MSFT [-9.74, 16.89]%;NVDA [-22.92, 0.69]%;1.574;0.771;0.072;0.31;0.299;0.093
EEM [4.62, 28.15]%, HYG [-11.65, 6.00]%, XOM [-24.78, 18.07]%, XLK [-17.04, 13.80]%, MSFT [-1.31, 16.89]%, DIA [-18.87, 15.11]%, XLE [-22.48, 19.27]%;NVDA [4.69, 35.73]%;2.546;0.578;0.022;0.365;0.279;0.038
AAPL [-24.13, 16.03]%, WMT [-4.53, 15.32]%, XLK [-15.51, 10.85]%, GOOGL [-16.83, -1.98]%, MSFT [-9.57, 16.89]%, XLE [-34.55, 27.88]%, DIA [-17.00, 4.48]%;NVDA [-9.93, -1.76]%;1.507;0.413;0.083;0.174;0.353;0.201
DIA [-11.90, 10.52]%, MU [-36.04, 41.42]%, GOOGL [-16.83, 10.98]%, AAPL [6.42, 18.11]%, XLE [-34.55, 10.89]%, MSFT [0.29, 10.42]%, XLK [-9.62, 6.88]%;SPY [0.24, 2.86]%;1.288;0.6;0.028;0.141;0.496;0.047
DIA [-11.90, 10.52]%, MU [-36.04, 41.42]%, GOOGL [-16.83, 10.98]%, AAPL [6.42, 18.11]%, XLE [-34.55, 10.89]%, MSFT [0.29, 10.42]%, XLK [-9.62, 6.88]%;SPY [0.24, 2.86]%;1.288;0.6;0.028;0.141;0.496;0.047
MU [1.87, 28.47]%, UUP [-2.23, 0.62]%, MSFT [-7.31, 6.31]%, HYG [-11.64, 11.47]%, DIA [1.28, 15.11]%, XLK [-11.11, 13.91]%;SPY [-0.71, 4.98]%;1.368;0.978;0.116;0.299;0.529;0.119
MU [1.87, 28.47]%, UUP [-2.23, 0.62]%, MSFT [-7.31, 6.31]%, HYG [-11.64, 11.47]%, DIA [1.28, 15.11]%, XLK [-11.11, 13.91]%;SPY [-0.71, 4.98]%;1.368;0.978;0.116;0.299;0.529;0.119
DIA [-8.26, 12.79]%, EEM [-25.71, 15.07]%, GOOGL [-16.83, 18.14]%, IWM [-24.00, 20.60]%, AAPL [-13.99, 11.54]%, XLF [-20.16, -2.59]%, TLT [-5.66, 8.43]%, XLK [-14.35, 11.93]%, MSFT [-12.64, 11.77]%;SPY [-11.04, 1.42]%;1.314;0.979;0.119;0.267;0.337;0.122
MSFT [-7.41, 8.86]%, WMT [-8.45, 13.70]%, CPB [-13.61, -0.39]%, month([9, 11]), NVDA [-24.92, 25.09]%, GOOGL [-16.83, 5.19]%;UUP [0.02, 0.57]%;1.37;0.264;0.024;0.078;0.582;0.09
MSFT [-7.41, 8.86]%, WMT [-8.45, 13.70]%, CPB [-13.61, -0.39]%, month([9, 11]), NVDA [-24.92, 25.09]%, GOOGL [-16.83, 5.19]%;UUP [0.02, 0.57]%;1.37;0.264;0.024;0.078;0.582;0.09
MSFT [-7.41, 8.86]%, WMT [-8.45, 13.70]%, CPB [-13.61, -0.39]%, month([9, 11]), NVDA [-24.92, 25.09]%, GOOGL [-16.83, 5.19]%;UUP [0.02, 0.57]%;1.37;0.264;0.024;0.078;0.582;0.09
SAP [-25.12, 9.29]%, XLF [-4.55, 26.85]%, MSFT [0.99, 6.71]%, EEM [-25.71, 26.85]%, GOOGL [-16.83, 15.87]%, DIA [-18.87, 15.11]%, month(12), EWP [-5.62, 16.88]%;UUP [-0.44, 4.99]%;1.242;0.758;0.021;0.152;0.443;0.028
SAP [-25.12, 9.29]%, XLF [-4.55, 26.85]%, MSFT [0.99, 6.71]%, EEM [-25.71, 26.85]%, GOOGL [-16.83, 15.87]%, DIA [-18.87, 15.11]%, month(12), EWP [-5.62, 16.88]%;UUP [-0.44, 4.99]%;1.242;0.758;0.021;0.152;0.443;0.028
MU [-19.16, 32.86]%, XLE [-29.84, 21.04]%, week_number([591, 1172]), XLK [-16.07, 6.06]%, DIA [-14.58, 15.11]%, GOOGL [-15.90, 4.13]%, MSFT [-6.10, 4.58]%, HYG [-11.48, 11.47]%;UUP [-0.48, 6.03]%;1.229;0.76;0.3;0.234;0.356;0.395
GOOGL [-14.50, 9.59]%, MU [-39.22, 33.33]%, DIA [-15.47, 15.11]%, MSFT [-6.81, 6.87]%, week_number([666, 1039]), XLK [-11.98, 15.42]%, HYG [-11.33, 11.47]%;UUP [-1.16, 2.46]%;1.232;0.926;0.278;0.249;0.358;0.3
GOOGL [-14.50, 9.59]%, MU [-39.22, 33.33]%, DIA [-15.47, 15.11]%, MSFT [-6.81, 6.87]%, week_number([666, 1039]), XLK [-11.98, 15.42]%, HYG [-11.33, 11.47]%;UUP [-1.16, 2.46]%;1.232;0.926;0.278;0.249;0.358;0.3
WMT [0.10, 11.22]%, GOOGL [-16.83, 7.25]%, HYG [-11.65, 11.47]%, month([11, 12]), XLE [-1.96, 9.26]%, XLK [-15.08, 4.58]%, week_number([138, 1168]), MSFT [-2.72, 10.44]%, DIA [-18.87, 10.86]%, EWP [-3.37, 19.94]%;UUP [-1.29, 6.24]%;1.248;0.966;0.048;0.202;0.45;0.049
MU [-42.85, 37.14]%, WMT [-7.93, 5.31]%, GOOGL [-16.83, 10.61]%, HYG [-11.59, 9.77]%, month(12), XLK [-11.03, 8.89]%, DIA [-18.87, 8.24]%, MSFT [-6.58, 8.21]%;UUP [-1.33, 2.21]%;1.247;0.949;0.063;0.201;0.445;0.067
MU [-42.85, 37.14]%, WMT [-7.93, 5.31]%, GOOGL [-16.83, 10.61]%, HYG [-11.59, 9.77]%, month(12), XLK [-11.03, 8.89]%, DIA [-18.87, 8.24]%, MSFT [-6.58, 8.21]%;UUP [-1.33, 2.21]%;1.247;0.949;0.063;0.201;0.445;0.067
SAP [-28.84, 17.57]%, GOOGL [-16.50, 9.54]%, HYG [-8.42, 7.56]%, WMT [-9.46, 15.32]%, AAPL [-11.76, 18.41]%, XLK [-17.04, 10.71]%, month(12), TLT [-3.57, 11.91]%, XLE [-5.35, 13.77]%, NVDA [-34.50, 13.07]%, DIA [-7.43, 6.46]%;UUP [-1.79, 4.68]%;1.215;1.0;0.061;0.188;0.395;0.061
SAP [-28.84, 17.57]%, GOOGL [-16.50, 9.54]%, HYG [-8.42, 7.56]%, WMT [-9.46, 15.32]%, AAPL [-11.76, 18.41]%, XLK [-17.04, 10.71]%, month(12), TLT [-3.57, 11.91]%, XLE [-5.35, 13.77]%, NVDA [-34.50, 13.07]%, DIA [-7.43, 6.46]%;UUP [-1.79, 4.68]%;1.215;1.0;0.061;0.188;0.395;0.061
MSFT [-4.26, 3.81]%, WMT [-3.10, 4.32]%, GOOGL [-16.83, 15.43]%, week_number([505, 766]), month([11, 12]), NVDA [-33.68, 36.33]%, SPY [-1.32, 17.33]%, XLK [-13.63, 12.72]%;UUP [-1.81, 3.43]%;1.216;1.0;0.029;0.183;0.528;0.029
MSFT [-4.26, 3.81]%, WMT [-3.10, 4.32]%, GOOGL [-16.83, 15.43]%, week_number([505, 766]), month([11, 12]), NVDA [-33.68, 36.33]%, SPY [-1.32, 17.33]%, XLK [-13.63, 12.72]%;UUP [-1.81, 3.43]%;1.216;1.0;0.029;0.183;0.528;0.029
SAP [-14.18, 20.58]%, MU [-45.23, 35.39]%, DIS [-13.73, 9.87]%, EFX [-19.57, 13.63]%, month([11, 12]), DIA [-18.87, 15.11]%, GOOGL [-15.38, 4.18]%, HYG [-11.31, 11.47]%, XLK [-13.24, 8.88]%, week_number([1, 1172]), XLE [-34.55, 3.13]%, MSFT [-7.78, -0.95]%;UUP [-1.93, 6.24]%;1.202;1.0;0.037;0.174;0.343;0.037
HYG [-1.59, -0.03]%, WMT [2.10, 14.94]%, XOM [-24.19, 18.07]%, AAPL [-24.13, 14.92]%, month([10, 11]), XLK [-17.04, 13.87]%, DIA [-18.87, 15.11]%, XLE [-1.98, 10.19]%, GOOGL [-16.83, 18.35]%, MSFT [-6.20, 16.58]%;UUP [-1.94, 5.21]%;1.205;1.0;0.01;0.172;0.396;0.01
GOOGL [-16.14, 24.89]%, XLK [-17.04, 3.39]%, XOM [-9.11, 18.07]%, HYG [0.12, 11.47]%, CPB [-13.61, 20.14]%, DIA [-10.87, 15.11]%, XLE [-8.02, 27.88]%, NVDA [5.76, 33.30]%;UUP [-3.34, 0.85]%;1.223;0.841;0.045;0.162;0.362;0.054
GOOGL [-16.14, 24.89]%, XLK [-17.04, 3.39]%, XOM [-9.11, 18.07]%, HYG [0.12, 11.47]%, CPB [-13.61, 20.14]%, DIA [-10.87, 15.11]%, XLE [-8.02, 27.88]%, NVDA [5.76, 33.30]%;UUP [-3.34, 0.85]%;1.223;0.841;0.045;0.162;0.362;0.054
UUP [-4.71, 0.01]%, HYG [-11.65, 5.95]%, month([10, 12]), MSFT [-3.96, 12.60]%;WMT [1.70, 15.32]%;1.339;0.339;0.032;0.095;0.549;0.096
GOOGL [1.69, 16.62]%, WMT [-13.03, 1.88]%, DIA [-10.69, 15.11]%, MSFT [-6.90, 9.73]%, NVDA [-29.58, 33.66]%, UUP [-3.48, 4.69]%, XLK [-0.46, 1.51]%;XLE [-0.18, 3.30]%;1.34;0.556;0.038;0.151;0.53;0.069
GOOGL [1.69, 16.62]%, WMT [-13.03, 1.88]%, DIA [-10.69, 15.11]%, MSFT [-6.90, 9.73]%, NVDA [-29.58, 33.66]%, UUP [-3.48, 4.69]%, XLK [-0.46, 1.51]%;XLE [-0.18, 3.30]%;1.34;0.556;0.038;0.151;0.53;0.069
XOM [-14.56, 18.07]%, HYG [-11.65, 9.38]%, MSFT [1.69, 15.07]%, SAP [-24.65, 22.44]%, NVDA [12.29, 36.33]%, CPB [-13.10, 17.60]%, DIA [-7.11, 11.38]%;XLE [-0.21, 25.51]%;1.519;0.88;0.019;0.307;0.353;0.021
IYR [-31.10, 33.08]%, MU [-29.36, 40.29]%, DIA [1.16, 10.13]%;XLE [0.22, 9.99]%;1.453;0.765;0.222;0.336;0.445;0.29
DIA [1.79, 5.94]%, MSFT [3.12, 15.45]%;XLE [-0.24, 11.97]%;1.436;0.83;0.062;0.272;0.773;0.075
MSFT [-0.66, 10.32]%, week_number([396, 865]), DIA [-0.36, 1.66]%;XLE [-0.67, 6.92]%;1.235;0.738;0.115;0.166;0.773;0.156
HYG [-11.65, 10.98]%, MU [-8.83, 40.36]%, SAP [-28.84, 22.44]%, XLK [-16.06, 1.12]%, XOM [2.81, 3.58]%, AAPL [-5.51, 3.86]%, DIA [-11.30, 0.84]%;XLE [-0.78, 15.90]%;1.498;0.958;0.02;0.325;0.508;0.02
